iter	Passed	Remaining
287	507	1255
288	508	1251
289	511	1252
290	513	1251
291	514	1248
292	515	1244
293	516	1240
294	517	1236
295	518	1232
296	518	1228
297	519	1224
298	520	1220
299	521	1216
300	522	1212
301	522	1208
302	526	1210
303	527	1207
304	528	1203
305	528	1199
306	529	1195
307	530	1191
308	531	1187
309	532	1185
310	533	1181
311	534	1177
312	534	1174
313	535	1170
314	536	1167
315	537	1163
316	540	1165
317	541	1161
318	542	1158
319	543	1155
320	544	1152
321	545	1149
322	546	1145
323	547	1142
324	548	1138
325	549	1135
326	549	1131
327	550	1128
328	551	1124
329	554	1126
330	555	1123
331	556	1120
332	557	1116
333	558	1113
334	559	1110
335	560	1106
336	560	1103
337	562	1102
338	564	1100
339	564	1096
340	565	1093
341	566	1089
342	568	1088
343	569	1085
344	569	1081
345	570	1078
346	571	1074
347	571	1071
348	572	1067
349	573	1064
350	573	1061
351	574	1057
352	575	1054
353	576	1051
354	577	1049
355	578	1046
356	579	1044
357	581	1043
358	584	1043
359	585	1040
360	586	1037
361	587	1035
362	588	1031
363	589	1029
364	590	1026
365	591	1024
366	592	1021
367	592	1018
368	593	1015
369	594	1012
370	597	1013
371	598	1010
372	599	1008
373	600	1005
374	601	1002
375	602	999
376	602	995
377	603	992
378	604	989
379	604	986
380	605	983
381	606	980
382	606	977
383	607	974
384	608	971
385	608	968
386	609	966
387	613	967
388	613	964
389	614	961
390	615	958
391	616	955
392	617	953
393	617	950
394	618	947
395	619	944
396	620	941
397	620	939
398	621	936
399	622	933
400	623	930
401	623	927
402	625	926
403	626	924
404	627	921
405	628	919
406	629	916
407	630	914
408	631	912
409	632	909
410	632	906
411	633	904
412	634	901
413	635	899
414	635	896
415	636	893
416	637	891
417	638	888
418	640	887
419	641	885
420	642	883
421	642	880
422	643	878
423	644	875
424	645	873
425	646	871
426	647	868
427	648	866
428	648	863
429	649	860
430	650	858
431	651	855
432	652	853
433	652	851
434	655	851
435	656	848
436	657	846
437	657	844
438	658	841
439	659	839
440	660	836
441	661	834
442	661	832
443	662	829
444	663	827
445	664	825
446	665	823
447	666	820
448	667	818
449	667	816
450	669	815
451	670	813
452	671	810
453	672	808
454	672	805
455	673	803
456	674	801
457	674	798
458	675	796
459	676	794
460	677	791
461	677	789
462	678	787
463	679	784
464	680	782
465	681	780
466	681	778
467	684	778
